LINE	CNV_MIR335	CNV_JUND	CNV_FOXP2	CNV_TFAP2C	CNV_FOSL1	CNV_MIR16-2	CNV_PLAUR	MIR335	JUND	FOXP2	TFAP2C	FOSL1	MIR16-2	PLAUR	T0_MIR335	T0_JUND	T0_FOXP2	T0_TFAP2C	T0_FOSL1	T0_MIR16-2	T0_PLAUR
NIHOVCAR3	2	2	3	6	4	4	2	5.991862	4.90110824301451	0.250961573533219	3.34766565630097	1.77820857639809	7.3207555	4.24564777363675	5.991862	4.90110824301451	0.250961573533219	3.34766565630097	1.77820857639809	7.3207555	4.24564777363675
LINE	CNV_MIR335	CNV_JUND	CNV_FOXP2	CNV_TFAP2C	CNV_FOSL1	CNV_MIR16-2	CNV_PLAUR	MIR335	JUND	FOXP2	TFAP2C	FOSL1	MIR16-2	PLAUR	T0_MIR335	T0_JUND	T0_FOXP2	T0_TFAP2C	T0_FOSL1	T0_MIR16-2	T0_PLAUR
HL60	2	2	2	2	2	2	2	6.4742737	5.09508049190141	0.0143552929770701	0.111031312388744	1.13750352374994	7.259743	4.86096279785812	6.4742737	5.09508049190141	0.0143552929770701	0.111031312388744	1.13750352374994	7.259743	4.86096279785812
LINE	CNV_MIR335	CNV_JUND	CNV_FOXP2	CNV_TFAP2C	CNV_FOSL1	CNV_MIR16-2	CNV_PLAUR	MIR335	JUND	FOXP2	TFAP2C	FOSL1	MIR16-2	PLAUR	T0_MIR335	T0_JUND	T0_FOXP2	T0_TFAP2C	T0_FOSL1	T0_MIR16-2	T0_PLAUR
HEL	2	3	2	2	3	2	4	6.2667866	6.95686979831631	1.70929063572336	0.0426443374084937	4.77557736093065	6.2846622	3.9126498648972	6.2667866	6.95686979831631	1.70929063572336	0.0426443374084937	4.77557736093065	6.2846622	3.9126498648972
LINE	CNV_MIR335	CNV_JUND	CNV_FOXP2	CNV_TFAP2C	CNV_FOSL1	CNV_MIR16-2	CNV_PLAUR	MIR335	JUND	FOXP2	TFAP2C	FOSL1	MIR16-2	PLAUR	T0_MIR335	T0_JUND	T0_FOXP2	T0_TFAP2C	T0_FOSL1	T0_MIR16-2	T0_PLAUR
HEL9217	1	3	2	2	3	2	3	5.9450927	5.47735352663456	2.61353165291793	0.0143552929770701	3.96901230751632	5.9450927	3.605257262939	5.9450927	5.47735352663456	2.61353165291793	0.0143552929770701	3.96901230751632	5.9450927	3.605257262939
LINE	CNV_MIR335	CNV_JUND	CNV_FOXP2	CNV_TFAP2C	CNV_FOSL1	CNV_MIR16-2	CNV_PLAUR	MIR335	JUND	FOXP2	TFAP2C	FOSL1	MIR16-2	PLAUR	T0_MIR335	T0_JUND	T0_FOXP2	T0_TFAP2C	T0_FOSL1	T0_MIR16-2	T0_PLAUR
MONOMAC6	2	2	2	2	2	2	2	6.0163627	5.33699741660501	0.0426443374084937	1.0496307677246	4.4535175792155	6.7174025	5.32409051603798	6.0163627	5.33699741660501	0.0426443374084937	1.0496307677246	4.4535175792155	6.7174025	5.32409051603798
