LINE	CNV_MIR335	CNV_JUND	CNV_FOXP2	CNV_TFAP2C	CNV_MIR16-2	CNV_PLAUR	MIR335	JUND	FOXP2	TFAP2C	MIR16-2	PLAUR
NIHOVCAR3	2	2	3	6	4	2	5.991862	4.90110824301451	0.250961573533219	3.34766565630097	7.3207555	4.24564777363675
LINE	CNV_MIR335	CNV_JUND	CNV_FOXP2	CNV_TFAP2C	CNV_MIR16-2	CNV_PLAUR	MIR335	JUND	FOXP2	TFAP2C	MIR16-2	PLAUR
HL60	2	2	2	2	2	2	6.4742737	5.09508049190141	0.0143552929770701	0.111031312388744	7.259743	4.86096279785812
LINE	CNV_MIR335	CNV_JUND	CNV_FOXP2	CNV_TFAP2C	CNV_MIR16-2	CNV_PLAUR	MIR335	JUND	FOXP2	TFAP2C	MIR16-2	PLAUR
HEL	2	3	2	2	2	4	6.2667866	6.95686979831631	1.70929063572336	0.0426443374084937	6.2846622	3.9126498648972
LINE	CNV_MIR335	CNV_JUND	CNV_FOXP2	CNV_TFAP2C	CNV_MIR16-2	CNV_PLAUR	MIR335	JUND	FOXP2	TFAP2C	MIR16-2	PLAUR
HEL9217	1	3	2	2	2	3	5.9450927	5.47735352663456	2.61353165291793	0.0143552929770701	5.9450927	3.605257262939
LINE	CNV_MIR335	CNV_JUND	CNV_FOXP2	CNV_TFAP2C	CNV_MIR16-2	CNV_PLAUR	MIR335	JUND	FOXP2	TFAP2C	MIR16-2	PLAUR
MONOMAC6	2	2	2	2	2	2	6.0163627	5.33699741660501	0.0426443374084937	1.0496307677246	6.7174025	5.32409051603798
LINE	CNV_MIR335	CNV_JUND	CNV_FOXP2	CNV_TFAP2C	CNV_MIR16-2	CNV_PLAUR	MIR335	JUND	FOXP2	TFAP2C	MIR16-2	PLAUR
LS513	3	2	3	2	2	2	6.731319	5.70956635383999	0	0.565597175854225	5.9886847	4.09423606984577
LINE	CNV_MIR335	CNV_JUND	CNV_FOXP2	CNV_TFAP2C	CNV_MIR16-2	CNV_PLAUR	MIR335	JUND	FOXP2	TFAP2C	MIR16-2	PLAUR
A101D	5	3	5	4	2	3	6.4679317	3.90689059560852	0.16349873228288	5.14282184411593	6.1415963	5.65449282588346
LINE	CNV_MIR335	CNV_JUND	CNV_FOXP2	CNV_TFAP2C	CNV_MIR16-2	CNV_PLAUR	MIR335	JUND	FOXP2	TFAP2C	MIR16-2	PLAUR
C2BBE1	2	1	2	3	2	1	6.112283	4.74362267606766	0.0426443374084937	3.84699468696557	6.037602	2.86591881455221
LINE	CNV_MIR335	CNV_JUND	CNV_FOXP2	CNV_TFAP2C	CNV_MIR16-2	CNV_PLAUR	MIR335	JUND	FOXP2	TFAP2C	MIR16-2	PLAUR
HCC827	2	2	3	3	2	2	6.104756	4.7076352195453	0.214124805352847	2.03562390973072	5.8715973	6.22670118455169
LINE	CNV_MIR335	CNV_JUND	CNV_FOXP2	CNV_TFAP2C	CNV_MIR16-2	CNV_PLAUR	MIR335	JUND	FOXP2	TFAP2C	MIR16-2	PLAUR
ONCODG1	2	2	3	5	4	2	5.8522487	5.47443604325227	0.298658315564515	3.58135124716878	5.9759054	4.64558638591361
LINE	CNV_MIR335	CNV_JUND	CNV_FOXP2	CNV_TFAP2C	CNV_MIR16-2	CNV_PLAUR	MIR335	JUND	FOXP2	TFAP2C	MIR16-2	PLAUR
HS294T	3	3	4	5	2	3	5.9241	5.17871464117544	0.150559676575381	4.07296327155522	6.2564445	5.54318652456517
LINE	CNV_MIR335	CNV_JUND	CNV_FOXP2	CNV_TFAP2C	CNV_MIR16-2	CNV_PLAUR	MIR335	JUND	FOXP2	TFAP2C	MIR16-2	PLAUR
NCIH1581	3	1	2	2	2	1	6.6869206	5.15502057835857	3.43028527297778	0.422233000683048	6.444932	1.94860084749336
LINE	CNV_MIR335	CNV_JUND	CNV_FOXP2	CNV_TFAP2C	CNV_MIR16-2	CNV_PLAUR	MIR335	JUND	FOXP2	TFAP2C	MIR16-2	PLAUR
